NetWork,Acc,TPR,TNR,AUC
MyNet,0.8872549031295028,0.911504424778761,0.8571428571428571,0.944860449285228
ST-Res,0.8627450992079342,0.8761061946902655,0.8461538461538461,0.908781484002723
ResNet,0.8333333321646148,0.8761061946902655,0.7802197802197802,0.9049888164932414
with HOG only,0.8382352941176471,0.8849557522123894,0.7802197802197802,0.9026548672566372
with LBP only,0.8725490196078431,0.8849557522123894,0.8571428571428571,0.9125741515122046
with HAAR only,0.8333333333333334,0.9380530973451328,0.7032967032967034,0.9241466498103665
with HOG&LBP,0.8382352941176471,0.831858407079646,0.8461538461538461,0.897208985704561
with HOG&HAAR,0.8088235282430462,0.8938053097345132,0.7032967032967034,0.866186910434698
with LBP&HAAR,0.8088235305804833,0.9380530973451328,0.6483516483516484,0.9053778080326753
ST sampling 96*96,0.8431372549019608,0.9646017699115044,0.6923076923076923,0.9178255372945638
ST sampling 64*64,0.8774509815608754,0.8938053097345132,0.8571428571428571,0.9187007682582904
ST sampling 32*32,0.8627450980392157,0.9380530973451328,0.7692307692307693,0.9311484975201789
GoogLeNet,0.7549019596155953,0.7610619469026548,0.7472527472527473,0.808907906253039
